,0
1717,Initially awesome open world exploration game that suffers from overambition but still provides worthwhile journey n intriguing fantasy desert setting with lot of alien structures and cultures to discover n simple and short story that delivers its theme of finding purpose in freedom excellently n unique art style with little to no shading and shifting colors to make for constantly changing impressions n light environmental puzzles and decent collectibles strewn about just right to fill the map n well thought out movement mechanics in climbing gliding and driving that are built to fit the world and not the other way around as is often the case n overly restrained soundtrack with couple amazing songs being hidden in favor of unremarkable ambiance n clunky physics most noticeable on the essential bike n terrible performance as well as frequent glitches of all kinds
1718,A cute little mess way too ambitious for its own good 
1719,I like how the for also works as 4 
1720,The one that was fun for its time but not worth playing anymore 
1721,this feels soooo slow to return to
1722,My status 
1723,alas this game was my breaking point for this series Like brawl got REALLY swept up in the hype cycle and was so excited to play this when it was announced followed every character announcement and direct all the way to launch where proceeded to play the everloving shit out of it also wanted to be more competitive so started like really grinding this game both online and offline and really all was doing was just burning myself out at an insane rate This game series slowly stopped becoming the special highlight of get togethers and started becoming exhausting can look back at this game in positive light like can for all the previous smash games before it because of that Plus smash games before this were unique enough from one another that there enough reason to keep all the previous games around whereas for this game now that ultimates out who the hell is still trying to play this The game is solid but like m still burnt out on this series and have this game and myself to blame 
1724,This was one of the first Smash Bros games ever played and its pretty good to say the least really like how there is lot of content lot of characters and overall just lot of everything for everyone to enjoy really like the concept of having it be cross platform with the 3DS version 
1725,Very fun game This is where it feels the Kirby series truly began as if n Kirby Dream Land n simply acted as prototype for this one The spritework is very charming on the NES the songs are so catchy that they re often remixed into modern games without feeling out of place and the copy ability is fun to tool with even with only one move for each ability also love Hi Jump 
1726,Cute little game liked this one lot 
1727,poyo Fun game
1728,Massive improvement from Kirby Dream Land The bosses were much more fun and harder The moon and Sun The big cloud King Dedede and the final boss who made me feel as if was playing Gradius for the Arcade ahh good nostalgia right there Man love it It was genuinely fun 
1729,Incredibly impressive for an NES title but doesn run the greatest Still great game and introduces the copy ability series staple 
1730,I don like the extra mode
1731,A kazuya mishima bodypillow is the smartest economic investment bandai namco can make rn thats all im gonna say
1732,The online sucks and the rest is alright guess 
1733,I have no idea what the fuck is going on in the story mode
1734,tekken işte
1735,March 2023 n For the last 3 years this game was too much of reminder of my ex for me should get down on my knees give thanks that the Tekken8 trailers are triggering nostalgia instead of triggering resentment and PTSD aftershocks U0001fae3 Tekken7 convinced me to buy my first gaming console since middle school to bond with my gamer gf absolutely wasn ready for her to show me her own Rage Drive more people should talk about how domestic abuse is statistically higher in lgbt relationships 
1736,i hate videogames
1737,cried like little bitch ngl
1738,God really wish hadn t
1739,Greatest of all time Left me in tears after certain secret tea party Will forever be my top 1 favorite of all time and will always be in my heart 
1740,Worse than question arcs though question arcs lot of it was good except some glaring pacing problems in episode 4 episode 6 and 8 were bore to go through it good but just severely overhyped decent experience overall
1741,Do you believe in magic in young girl heart 
1742, voy cagar spoilers como un toro así que leer bajo SOLO SI TERMINASTE LA VN 
1743,Best game in the series drive forms were fun summons were fun good story and the combat movement was so smooth especially when you start unlocking drive form abilities as base sora 
1744,peak fiction at its finest
1745,To many this is the best game out of the entire Kingodm Hearts series and to be fair there a lot going for this game As with many Square Enix games they always deliver when it comes to music overall aesthetics especially when compared to KH1 other Final Fantasy titles The gameplay is greatly improved upon over Kingdom Hearts 1 in almost every regard camera movement combat platforming everything that was good is better and everything that was bad is pretty much fixed With that being said this is where the story begins to take nosedive in every direction personally skip all the cutscenses just to enjoy gameplay which while great is very slow to pickup in the beginning due to the Roxas portion of the game Without skipping cutscenes it going to take long time for the gameplay to come together into something really enjoyable 
1746,In my review of KH1 remarked on how if played these games as kid they would have totally been my absolute favorites mostly due to how the game had sort of magical sense to it seeing as it was Disney title This game felt like it had better fusion of both the whimsical magic that makes Disney titles shine as well as the more edgy anime ass vibes that Square Enix was known for Combined those two elements make for game that feel if had played as kid it would have changed things the same way Sonic Adventure 2 did for me That right there is powerful energy that can only really say belongs to these two games and these two games alone Unfortunately played this little too late for it to have that kind of impact on me personally but absolutely recognize that power when see it The game pretty much improves upon the first in every way with better locales fancier and flashier gameplay more intricate plot the whole nine yards My only major gripe that have with it is think the second half could have been streamlined bit better and they could have made both acts for each world happen in row rather than having you go through every world twice Outside of that this is particularly special game Which is certainly something never thought d say about mfin game where bunch of edgy cloaked dudes and mickey mouse share the same screen space 
1747,This game is extremely nostalgic for me can still see myself turning on the ps2 and playing the og game Life was simple 
1748,you know m sad 
1749,The Vibes Are On Point
1750,mó brisado
1751,Acabare con todas las maquinas expendedoras del universo lo juro 
1752,I remember back when this was concept video and was super intrigued by the gameplay mechanics 
1753,lad that the
1754,me
1755,tually found final version and wasn just a
1756,ncept with n
1757,ing done wit
1758,t As for the actual game
1759,self i
1760,as neat liked ho
1761,hey focused lo
1762,n perspective based puzzles n
1763,nly with the main gimmick
1764,resizing objects based on perspective but also with things like lighting and making 2D objects 3D and resizing yoursel
1765,o solve puzzles However 
1766,ere definitely were lot of points w
1767,e you a
1768,ust walking through hallways which felt like padding It seems like while the game concept was really cool there really wasn a lot you could properly do to put those cool mechanics into practice to make the game the next portal like everyone thought it would be when it was shown off That being said Portal is really high bar so not reaching that expectation does not bad game make since this game is still definitely worth playing IMO The story focusing on having different perspectives was also neat and tied into the game mechanics which was cool All in all it didn disappoint and would recommend giving it play Up there with the Portal Series as one of the best puzzle games for me m not one of the best or brightest and so having puzzles centered around one thing like portals or in this case perspective means that it not too difficult to figure out what you may want to do Each puzzle is really cool obviously the use of perspective to fiddle with ob
1769,ts is trippy and fun to just mess with My personal favorite part of the game was the level design and the way it made you feel like you were spiraling ever deeper in dream From the endlessly
1770,rpeted h
1771,s of hote
1772,o spooky dimly li
1773,ackrooms was on the edge of my seat on this ride At the very climax of the game when you have
1774,Pretty cool game the gameplay is extremely solid and the story is very weird and confusing but still pretty cool
1775,very stinky
1776,death stranding makes doing mundane tasks the most exhilarating experience 
1777,Having played the Standard Edition on Steam this version has great QoL additions but runs worse than the Standard Edition in my experience Other than that see no reason to not get the Director Cut 
1778,this game gives me peace of mind and makes me connect with myself it like going to therapy thank you kojima 
1779,DEATH STRANDING HAD ME IN THE FIRST HALF
1780,I played Persona 4 after P5 and my love for this game has stood up to this day The small town of Inaba has something mysterious going on and in the midst of it you have to come to find your true selves 
1781,as corny as it sounds if had the option to play this game for the first time id take the opportunity
1782,friendship power the game
1783,is kinda good at times ig
1784,Chie Chie Chie Chie Chie
1785,The Persona series along with its parent series Shin Megami Tensai have generally been consistent with their themes throughout the years The collective unconscious the masks that people wear to conceal their true selves and references to ancient Greek and Japanese mythology are all motifs that are usually present in SMT and Persona games This has led to consistently murky tone throughout the series in the undertones when not overtly While the darkest game in the series is up for debate there no debating which is the brightest Persona 4 Released just 2 years after the decidedly grim Persona 3 and on the same engine P4 delivers an overall joyful and optimistic tone that helped it stand out not only from its predecessor but from previous Persona and SMT games as well This may seem counter intuitive as the focus of the story is on finding murder suspect who kills 2 people within hours of the game beginning Yet it the moment to moment dialogue the soundtrack even the color palette the yellow theme provides an overall sunny disposition that makes Persona 4 not only joyful experience but joy to experience 
1786,Fuck off 
1787,pretty good
1788,solid
1789,mommy ask what word is for today 
1790,Should be 4 letter words 
1791,games that will never say the word PENIS
1792,my laptop fucking sucks and could barely run it mean its sims game so its what you expect gave my account to my best friend and he had lot of fun with it so it not bad m slightly mad that spent money on it years ago just to barely play it and watch it become free 
1793,Base game is so empty you ll get bored in minutes 
1794,this game sucks
1795,meu sonho é poder jogar esse jogo pra fazer eu meus amigos se matarem em um roleplay insano
1796,Sims go vroom
1797,My brother left me his old computer and inside there was this with WickedWhims mod
1798,is the villain not supposed to be gay
1799,oynadığım ilk far cry oyunu
1800,Divertido com boas mecânicas personagens interessantes um conflito que pode fazer jogador escolher algumas atitudes de um lado outras de outro Bom arsenal bom gerenciamento de armas itens é um bom jogo com boa diversidade de gameplay meios para fazer as coisas 
1801,Far Cry 4 is an open world first person shooter that found to be mixed bag On one hand the game offers stunning and immersive world with vast open world map that fun to explore The gameplay mechanics are solid and allow for wide variety of playstyles from stealthy takedowns to full on assaults The game weapon customization system is also impressive allowing for lot of creativity in how you approach each encounter 
1802,Melhor farcry
1803, Played before 2023 n Came to spread my mother ashes Had nice dinner waited around for fifteen minutes and spreaded my mother ashes Pretty nice trip 
1804, The sun is gone n cheers
1805,I think that lot of the people saying that this is one of the worst sonic games of all time are kinda overexaggerating things don think this game is as damaging as something like sonic 06 or sonic boom That being said this game is very bare and there are dozens of other sonic games you could and should play instead of this one The only thing that this game does wrong is just not have any substantial level design or challenge so you just breeze through it in like 3 hours without remembering much of it at all The writing is absolutely corny so if you like that kind of thing then ur gonna be entertained Otherwise this game is just like an empty calorie 
1806,banger soundtrack but that it 
1807,Cara nada nesse jogo funciona gameplay do Sonic moderno é legal até eu sinto um pouco de falta de paixão do level design mas são poucas fases agora sobre avatar as fases dele são travadas lentas tediosas repetitivas sério não sinto prazer em jogar com meu próprio personagem nem irei comentar sobre clássico porque seria chover no molhado 
1808,This game is so fun n don know if it just because of my own sensibilities or low expectations after years of the internet dogpiling on this game but outside of some control issues this was genuinely good time 
1809,If you re fan of boost gameplay this sure is video game 
1810,alguém me pague terapia depois disto
1811,Este juego es muy bonito al sorakku le gustaría
1812,Juego 49 MA RA VI LLA es la palabra que describe esta locura de juego tenía meses acumulando polvo entre mis juegos decidí jugarlo solo para pasar de el Fué el sabado por la noche mas emotivo que he vivido en mucho tiempo 
1813,A simple game with simple pixel graphics It a point and click adventure with few puzzles but they are very easy to beat and felt like they didn really add much The story has lot of heart and is the main appeal of the game At first wasn a fan of the two scientists but as the game progressed grew to like them lot and now m looking forward to seeing their story continue in other games 
1814,Neil Watts shut the fuck up challenge
1815,juegarddooooo
1816,peak puzzle game that cant beat because am bad
1817,I really like the game but every time play get frustrated cause 
1818,ad at it want to finish it at some point though and think it an easy game to get
1819,ck to wish w
1820,mart enough to beat thi
1821,ame 100 unique block pushin
1822,ame First time ve ever been asked to solve level select screen one of the best puzzle
1823,mes of
1824,J ai plus les mots Un des plus grands RPG de histoire Le gameplay vieillit un peu mais tout le reste est fantastique 
1825,bu da böyle bişidi 
1826,The combat takes some getting used to but the story oh do love the story
1827,I ve put like sixty hours in this so far and still have ways to go feel like need breaks from this game sometimes but it still top notch 
1828,While the combat is lacking the world and the story will keep me enthralled forever
1829,Took long time because you know work and life stuff n But man what fucking ride revisiting this game and actually doing everything on the world With the new updates it improved an already above average game felt immersed the whole way through side characters and questlines are the golden eggs of this game in one quest there is literally golden egg lol n still have some problems with the main villain think the MSQ is the least appealing part of the game despite loving Ciri as character n Words cannot describe the feeling felt after completing everything in blood and wine and being done with this game definitely one of those games you always have fond memories of and probably will keep returning for it from time to time 
1830,Lil moustache man what you punching your friends for 
1831,Solid foundation for the juggernaut that is Smash Bros today Gameplay is fine but lacks content compared to future entires 
1832,Muito divertido Possui mais limpo de entender acompanhar em uma boa parte dos mapas na gameplay Porém como se trata do começo da franquia balanceamento a otimização das mecânicas não é muito bom Ponto que incomda muito os controles do N64 são horríveis o jogo aidna não faz bom uso do analógico deles 
1833,Still holds up great even if the controls leave little to be desired Plenty of single player content too with board the platforms break the targets and classic mode 
1834,Smash 64 doesn really have lot of content in it ngl but it still dang fun all things considered and also helped start the wacky nonsense that is the modern smash brothers IP If you bust this out at party there going to be good time Though if you are more used to the later smash games you ll probably get bored pretty soon 
1835,this website is ridiculous but it ok forgive you
1836,Would have been the best version of Mario 64 if it weren for the controls being utter dog shit 
1837,Borrowed from my friend couple times never completed but loved it Don own myself but consider my time with it notable enough to add here 
1838,the controls were so bad that they nearly made me cry at multiple intervals
1839,It controls really awkwardly due to only using the dpad on the first ever game made to show off the analogue stick But the 30 additional stars and extra characters make it fine mario 64 dlc 
1840,its mario 64 but on nintendo DS which is cool because yeehaw portability bonus content and bonus characters but not as cool because no analog control and weird character switching hat switching shenanigans are at play If you don have nintendo 64 this is fine way to experience mario 64 but if you have the means to play the original id rec that one over this one thru charm and playability alone 
1841,A good attempt at making mario 64 for the DS More characters and more options are nice but it comes at the cost of controlling the game with the DS controlls which are not great at all If this game came out little later in the DS life span it could of been great or even better yet the 3DS 
1842,The chief and Cortana stuff is good The rest of the plot is eh and the forerunner enemies can remember all suck Still pretty fun to shoot covenant tho
1843,Played through the whole campaign for the 100th time and its so short with repetitive scenarios and weak new alien race The cortanna plot is still the strongest and most memorable scene 
1844,Can remember you darling 
1845,I was surprised by how much enjoyed Halo 4 Given the reviews wasn expecting much from it but still had good time It the most modern feeling game mechanic wise in the Master Chief Collection and the story has fitting conclusion to Chief and Cortana story arc 
1846,Rating 8 2 10 Great
1847,Halo 4 as game was game whose badness was dramatically oversold to me by people Which doesn mean this game is good Its probably the worst Halo painfully mediocre shooter with terrible story But don find it completely out of line with the rest of the series which is damming of my opinion of Halo as whole Halo 4 isn the worst modern shooter but unless you have burning desire to play through the entire franchise like have had its not even remotely close to worth your time 
1848,It has combat from arkham and assassins creed Climbing from uncharted stealth from every 7th gen third person game you spend half of the time clearing out bandit camps and you play the most ai generated character in all of gaming m sure we all remember that iconic lord of the rings characters name This is game so derivative of every other game around it that it lacks any identity and purpose to exist 
1849,Monolith is an underrated company FEAR was an underrated franchise in general although the 3rd kind of fell flat Luckily they managed to claim some of the respect they were due with this game 
1850,A jogabilidade é muito boa jogo tem um sistema de combate bem dinâmico com muitos movimentos habilidades que você pode aprender ao longo do jogo Além disso jogo tem sistema nêmesis onde os inimigos que você enfrenta vão se lembrar de você evoluir de acordo com suas ações para mim é ponto alto do jogo 
1851,Honestly not even that good of game but had blast with the nemesis system and enjoyed doing mindless treasure hunting repetitive missions just because liked making Uruks feel as much pain as possible Would recommend to family and friends 
1852,It Assassin Creed in Middle Earth What not to love n The nemesis system is still to this day one of the coolest things ve ever seen in video game and it a shame that WB has done nothing with it since n n Disclaimer These are my brief thoughts based on my memory of playing this 8 years ago 
1853,MANSWINE
1854,Mega Man 2 basically took everything good about the first game polished it and improved it in every way imaginable with more refined controls less slippery platforming much better stage design iconic boss fights that provide decent challenge more variety in the obtainable powers and improved difficulty balancing alongside another incredible banger of soundtrack can totally see why this game gets the well deserved praise that it gets legitimately fun game that could totally see myself playing more in the future whereas never want to touch the first Mega Man ever again 
1855,Without single doubt superior to the first game this is the true seminal episode Includes everything that other Mega Man games will do Level design is great challenge is present boss fights are hard enough 
1856,This is really where Mega Man started It has everything going for it too Firstly pleasing and charming graphics in spite of NES limitations Secondly the soundtrack is phenomenal not just back then but now best NES soundtrack easily and it isn close The levels are very engaging hitting sweet spot of tough but fair The Metal Blade invalidates lot of enemies but man it fun to use In my review of n Super Mario Bros 3 n mentioned that it was contender for one of the best NES games and holds up in modern times n Mega Man 2 n was the most poignant example in my mind that stopped me from definitively saying the best 
1857,way better level design and difficulty than 1 the robot masters are iconic it has some super banging music and the weapons are overall an improvement in usability and variety truly classic and one of the downright coolest mega man games
1858,Mega Man 2 is an NES game where nowadays you can actually finish the game on first playthrough without using save states or banging your head on wall due to how difficult it is MegaMan 2 is very balanced game with very good platforming and levels It fixes the issues of Mega Man 1 which aren many aside from NOT being janky and difficult as the 1st game This is officially one of my favorite NES games and heavily recommend playing it if you want to get into the Mega Man franchise
1859,If you are familiar with the Mega Man series or NES games in general you would know that this is without doubt the most popular and beloved game in the entire franchise and one of the greatest NES games ever made While wouldn go as far to say that this game is the best in the entire series it is fantastic improvement from the previous and definitely one of the best NES games ever made 
1860,first game 4 5 5 n second game 4 5 5 5 off for the circus one but still has 2 of my fav cases n third game 5 5
1861,I actually played these games on mobile but the only option is 3DS You can definitely tell why this series has lasted so long It got solid concept that it tends to execute pretty well Admittedly though actually dislike the second game because don enjoy any of the cases First and third are great though 
1862,Collection of the first 3 Ace attorney games The versions of the games in this collection have uniquely upscaled redrawn art assets which might not be to some fans taste but it was fine for me No cool bonus compilation content this is pretty much just bundle of 3 games This is basically the easiest way to get into the Ace Attorney series considering the fact that this compilation is on like actually everything these days 
1863,played all 3 separately not on this version
1864,The games were so fun to play through but do have to say after while it became unclear what direction the cases even would go and wasn really sure what was gonna happen next 
1865,For when these games came out they re pretty good although it felt kinda tedious gathering clues and some of the answers honestly kinda stupid n enjoyed it quite lot before leaving it plan on picking it up again one day tho
1866,bereyi çıkar artık
1867,I don like delvin or whatever his name is
1868,One of the first games that was given for my PlayStation 4 was physical copy of n Infamous Second Son n but because my console disc drive got clogged up with dust at one point wasn able to play it or any other physical PS4 game for that matter for years Now that finally got that fixed started playing through this game shortly after beating n Grand Theft Auto Vice City n and while wouldn consider this to be terrible game wouldn exactly say that liked it n Infamous Second Son n is one of the most aggressively milquetoast games ve ever played as almost everything about it feels designed to be just competent enough to keep the player from switching the game off without actually being all that noteworthy The generic visual style and music really didn help with this as it just made the game generally feel much more bland and flavorless Like lot of these kinds of games n Infamous Second Son n focuses on the player having to fight yet another force of tyranny and every plot point and character relationship within that journey is as predictable as they can be None of the characters were very interesting but my least favorite was easily the protagonist because on top of the obviously bad idea of making him be part of fictional Native American tribe Delsin Rowe was also just annoying as his constant quips and one liners consistently got on my nerves 
1869,This game is what validated my PS4 back when it came out Visually it still looks great with lot of good lighting and particle effects Either that or m still just easy to please The plot is pretty cool too as you play as some rebel dude tryin to overthrow the authority with his elemental powers As your character can steal elemental powers from other people there a lot of different abilities you can use and can switch from element to element on the fly so that cool There are also moments where you hold the dualshock 4 controller sideways like spray can to paint stuff and that goes hard love dumb controller gimmicks had good time with this one 
1870,Any game with protagonist that can shoot stuff out of his hands and is voiced by Troy Baker is getting good score from me The karma system isn used as good as in the originals but this game still looks and plays fantastic 
1871,woosh 
1872,I get why lot of people love this game but fundamentally find that no element of the game is good enough to compel me to finish it
1873,Star wars peak fiction the story is insanely good the combat well good enough imo the designs the immersion and the customising you re able to do is very good You could easily spend life time in this game and still discover more stuff 
1874,Old review but thought d share 
1875,if care about you will force you to play it
1876,This is my favourite game of all time absolute masterpiece and shall take and cherish these moments for the rest of my life
1877,Fuck Taris 
1878,I don understand why liked it so much but did So much pure fun
1879,good as the first one
1880,No More Heroes 2 is more of the first game but now with more climatic fights and less filler This game completely removes the overworld in between fights although don like these minigames as much as the first game It loses bit of personality in that sense 
1881,Abandoned again all on his own n What were the climbs worth n Even to struggle as humans yet still 
1882, Yeah that 
1883,e the No More Hero No More Heroes 2 is one of those sequels that is for better and worse 
1884,e of the same Fo
1885,he be
1886,r sinc
1887,he core gameplay loop has been finely
1888,ned in order to remove any tedi
1889,r pr
1890,ession blocks that the playe
1891,ould run into in the first game For the
1892,rse h
1893,v
1894,since Suda absence from the writing and direction in this one is definitely felt 
1895,This game is kind of like clip show really good clip show But clip show nonetheless And as with clip shows there are lot of rethreads of previous episodes And while they are done better here it does become little old 
1896,This is the perfect Kirby game to begin with Perhaps it is even the perfect Kirby game 
1897,kirby has finally escaped the many years of mediocrity and inconsistency it only goes up from here
1898,This is Kirby Super Star with different art style and bunch of extra modes don like the new art style as much as the original and don care for the new modes 
1899,It 
1900,ot that great 
1901,n don
1902,see anyone explaining why exac
1903,the
1904,ike this game so much but can on
1905,uess because others don intend on makin
1906,long
1907,alysis o
1908,Kirby g
1909, or th
1910,re bi
1911,d by nostalgia b
1912,i would sell an intestine for remaster or just port ily suda
1913,flower bud and strain u200d 
1914,I going to be honest don understand Japanese but yeah this game is great just going by the opening hopefully we ll get the remake this year hahahahahah 
1915,fucked up game makes you walk and you cope
1916,Wow spinoff
1917,sumio mondo funny moments
1918, voz de peter griffin en español dios mio este juego me ha cambiado la vida
1919,heard they re making video games be good now
1920,Katamari Damacy ia just pure fun Once you learn the controls it literally picking up objects As you increase in size so do your pickups Racing against time limit is somehow relaxing just sucking up the world with ease 
1921,I don have much to say about this game that hasn been repeated for the past almost 20 years It easily one of the best titles on the PS2 Maybe one of the greatest games ever made The visuals make me laugh and the music makes me cry The simple concept is just so much fun to play with 
1922,honestly one of the textbook examples of what video games can be Aesthetically incredible with both the artstyle and soundtrack being sensory feast The gameplay loop is addictive and the controls make it easy to learn but hard to master Conceptually it incredibly easy to grasp as your ball starts small and you need to roll things up to be bigger The runtime is perfect length where it neither over nor understays its welcome and there enough challenge stages with hard goals to keep the more hardcore players invested Both stylistically and functionally this game rocks and it is MUST PLAY 
1923,All best must have original
1924,I ve updated my audio equipment
1925,he deserved to have gun
1926,Este juego me decepciono 
1927,Even as kid could tell this wasn a good game 
1928,its basically if you took sonic heroes and ratchet and clank and threw them together but removed all the good parts from each of them plot made no sense and getting to the true ending feels like you are playing the video game version of the endless eight The writing is really funny due to how hard it tries to be edgy but you probably already knew that This game is definitely worth watching the cutscenes for or maybe even doing one of the routes in but going for that final boss or if you are really masochist going for 100 all route variation completion just ain worth it fam damn 
1929,This game was one of my favorites growing up But now cannot say the same It is still the best Sonic game from that era definitely is but those Sonic games kind of suck lot really don like how clunky the gameplay is overall don think liked the gameplay even when was young just thought Shadow was cool as heck But that gameplay is super clunky and even if it is an improvement over the other Sonic games from this era that doesn mean it is good 
1930,very beatiful and interesting as whole
1931,Beautiful artstyle and wonderful concept just like the first but now in HD However still too much damn talking sometimes just want to paint and run around without being interrupted 
1932,Too easy but still really fun and beautiful 
1933,This game goes through essentially the same story set up three times and was ready to quit the game after the second time through Still the mechanics are fun mostly and the art and visuals are great The game is just way too long 
1934,Never made it past the first few hours of this want to like it because of the art but theres so much boring dialog with the slowest text speed ever created by mankind and repetitive enemy encounters with very shallow combat appreciate what it does but think after point just have to accept m not having fun Especially since Ive heard its over 60 hours long dont think could trudge through the more boring parts to get to the good parts 
1935,DOG GAME DOG GAME
1936,We love good comeback
1937,Liked this better than zero mission its fun game and like all the movement
1938,Overall great game only have couple of complaints The metroid hunting makes the game little too linear and the remake makes the areas of the game feel circular in design The boss fights are way too tanky and some feel like they drag on forever My final complaint is regard to Ridley surprise appearance as the final boss love Ridley as much as the next guy but Ridley sudden appearance doesn really fit the tone and atmosphere of the game It a cool and fun boss fight but it should have ended with the queen metroid like in the original 
1939,Another fun metroid game It got great map design item placement and enemy variety While the art design doesnt pop as much as others the level design makes up for it 
1940,This has everything loved about Dread without the annoying EMMI segments 
1941,WHY IS EVERYTHING CHARGING AT ME HOLY SHIT 
1942,As my first life is strange game enjoyed it ve always had soft spot for these kinds of games 
1943,bem bão
1944,Didn like the characters and the dialogues that were kinda cringe the entire time played this game Haven finished it but really don feel like doing so The town was kinda nicely designed and the visuals are quite pretty with the watercolor ish artstyle Alex power was rather annoying and wasn really that cool 
1945,It wasn that bad But also no that good 
1946,entrega tudo que promete mais um pouco gráfico é excepcional plot é envolvente demais eu nem consigo dizer quanto eu amei soundtrack alex é uma mini querida se não fosse sean a chloe ela seria minha fav de toda franquia motivo de eu ter tirando uma estrela foi por conta daquela criança encapetada filho da namorada do gabe que estragou tudo esse menino é mal do mundo gente que ódio era só ele ter aquietado rabo em casa que nada daquilo teria acontecido 
1947,i felt that
1948,It is the best one music fights story pokemon it a gg
1949,This game taught me that do not like Pokemon games 
1950,RePlayed on Challenge Mode with Set Mode and no items in battle 
1951,What can say the best pokemon game and you get to play it second time in the form of sequel 
1952,The most single Pokemon game has ever had to offer 
1953,Pokemon Black 2 like White 2 is the only time in the entire franchise they made sequel to mainline game and would argue this is the best Pokemon has ever had to offer 
1954,One of my favorite games it a simulator like Princess Maker where you manage the live of Streamer girl there many endings depending on your efforts 
1955,i can fix her
1956,Wacky and fun little game just not my cup of tea It interesting for the first few moments but then it becomes kinda trial and error to figure out all the endings Honestly got tired of the gameplay loop not too deep into the game and also lost some of the attachment to the setting of the game Even so can see how interesting it can be to have all these possibilities that can lead to unique story paths and find out the crazy endings you can get 
1957,this is my joker
1958,she just like me fr
1959,Idk why this game is so popular tbh
1960,moar like boringlands
1961,Dated but fun Roland going Critical BITCH had me chuckling few times
1962,Claptrap Weasel 
1963,Janky brown and dull at times but it will always hold special place in my heart 
1964, Played before 2023 n Thinking about it don like the game as much as thought did Pandora is seen as boring desert with nothing interesting the psychos were cool but the only unique enemies outside of the DLC Guns were okay but not nearly as unique in sequels and the characters just Weren interesting think the ones you play as are cool but their skill trees are awfully simply and that makes them feel pretty boring until you get to max level which requires three playthroughs Yay think the sequels are lot better 
1965,This games protentional was met with its sequels So feel free to skip this one 
1966,Hollow knight simplesmente é maravilhoso prova que jogos indies são feitos com muito mais amor doque AAA é isso que me fez apaixonar por esse jogo
1967,só vem silksong só vem
1968, The Dynamics of Design Verisimilitude and Anachronism in the Video Game 
1969,ll
1970,night critical examination of Cacophony and Sanctimony in Achieving Narrative Dynamism It pretty much the best video game ever made real Souls Like review copied from GameTrack
1971,Did this inspire The Empty Man 
1972,This game was genuinely just great experience The platforming segments are great and for the most part are really well designed though some areas not so much love the 2 5D style and how the levels bend and intersect it creates quite unique aesthetic that love n The game overall while challenging at times very rarely gets annoying or frustrating which m very happy with And honestly d say solid 70ish percent of the game had no difficulty at all found some of the late game bosses to be some of my favorite parts of the entire game really love the puzzles as well yet again they re really well designed n think the only issue had and this isn even necessarily an issue with the game is that had bad depth perception so sometimes can really tell how far away thing is if it not on the same plane as Klonoa But aside from that this game was an absolute blast to play and its ending is definitely worth it 
1973,A mountain of classic 90s charm smooths over some minor flaws in the moment to moment platforming In the tradition of all the best side scrollers your set of abilities is narrow but they are perfectly defined taught and explored to their limits by game end Also manages to be forgiving without being easy Good stuff 
1974,I know this game has lot of reviews already on this site but this was very great game so why not Klonoa has always one of those series ve been meaning to try more of But before talk about the game thought d share my history with the series 
1975,sensational
1976,This was fun time till after 3 2 where levels started to be little bullshit at moments the rings grab is little to short and the bosses are very generic still had fun time just hope 2 is better 
1977,Bei Gronkh als Let Play gesehen War nicht so gut wie der erste Teil der Triologie 
1978,Really pretty world and combat addictive and fun
1979,it started of strong with the world collapsing around Lara but after finishing the game had mixed feelings The parkour is significantly better than Rise but everything else was meh 
1980,O jogo chama se Tomb Raider quase não possui tumbas para explorar as que existem são fáceis pouco inspiradas Uma das piores narrativas da série 
1981,Its fine but the weakest of the triology Especially the story and the writing was weak 
1982,fine
1983,is this technically vore either way good game love how you get to switch in between mario luigi and bowser
1984,ITS BEEN 10 YEARS AND NEVER BEAT THAT CARROT MINI GAME FUCK THIS GAME 
1985,fuck the carrot eating minigame
1986,good as fuck liked this shit so much finished fast as fuck peak mario rpg for now didnt played all of then the music is so fucking good dude its creative as hell its just very good game 
1987,this game would ve been pure kino if it was mario and bowser teaming up instead of cool bowser sections interspliced with the kind of bland sections with vored mario and luigi
1988,The best Mario and Luigi game and one of the best Mario RPGs period An ultra charming story coupled with tight and unique gameplay that utilizes the DS in creative ways Although it is the titles motiff and very fun to play as Bowser hes too prominent in the first half relegating the Mario Bros to second fiddle The balance gets much better in the second half With only few slight complaints in level design Inside Bowser Story is near perfect game The best DS title have played 
1989,o quão eu morri nesse jogo não ta escrito ele é mt bom to quase platinando ele pena que ele não é tão reconhecido
1990,It exactly what you expect it to be and love that about it 
1991,Utterly devoid of ideas beyond the cyberpunk horizon this game does everything you could expect from the genre The only salvation is its fluid gameplay You could not make game more cyberpunk than this and that a bad thing 
1992,Played on PC with RX 480 Graphics Card n Also Available on PS4 PS5 Xbox One Xbox Series Series and Nintendo Switch
1993,Beat my ass 10X Over thanks for asking
1994,Repetitivo
1995,at basic level this is better game than the original Watch Dogs but at the same time feel like there is fundamental inability to address the ways in which the game breaks down when putting gameplay and narrative together as well as bringing the game down with the usual Ubisoft Map Collectathon
1996,explore massive open world except don because it really boring
1997,я не выдержал соевость этой игры и мне не понравилось
1998,divertido pra caralho inclusive foi um dos jogos mais divertidos que ja platinei 
1999,jogo geração Z
2000,Haha funni 2016 world game n San Francisco atleast is cool but apart should revisit also missions being replay able is better thing than the previous game 
2001,Such fascinating experiment they jumped through ton of hoops to make this story possible and to ensure everything fit together but was left wondering why 
